activity_id,assay_chembl_id,assay_description,canonical_smiles,document_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,standard_value_nM,pEC50,normalized_smiles
6776896,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cn1nc(-c2ccccn2)nc2c(=O)n(C)c(=O)nc1-2,CHEMBL1201862,CHEMBL1463659,7.72,=,=,EC50,nM,19.1,CHEMBL1741171,EC50,uM,0.0191,19.1,7.718966632752272,Cn1nc(-c2ccccn2)nc2c(=O)n(C)c(=O)nc1-2
6750388,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",COC(=O)c1ccccc1NC1=C/C(=N\S(=O)(=O)c2cccs2)c2ccccc2C1=O,CHEMBL1201862,CHEMBL3195749,7.68,=,=,EC50,nM,20.8,CHEMBL1741171,EC50,uM,0.0208,20.8,7.681936665037238,COC(=O)c1ccccc1NC1=C/C(=N\S(=O)(=O)c2cccs2)c2ccccc2C1=O
6769316,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cc1nc2c(=O)n(C)c(=O)nc-2n(C)n1,CHEMBL1201862,CHEMBL601757,7.68,=,=,EC50,nM,20.9,CHEMBL1741171,EC50,uM,0.0209,20.9,7.679853713888946,Cc1nc2c(=O)n(C)c(=O)nc-2n(C)n1
6773106,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cn1nc(-c2ccc(Cl)cc2)nc2c(=O)n(C)c(=O)nc1-2,CHEMBL1201862,CHEMBL1334062,7.52,=,=,EC50,nM,30.5,CHEMBL1741171,EC50,uM,0.0305,30.5,7.515700160653214,Cn1nc(-c2ccc(Cl)cc2)nc2c(=O)n(C)c(=O)nc1-2
6769264,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CC(=O)Oc1c(/C=C(\C#N)C(N)=O)[nH]c2ccccc12,CHEMBL1201862,CHEMBL1370184,7.5,=,=,EC50,nM,31.4,CHEMBL1741171,EC50,uM,0.0314,31.4,7.503070351926786,CC(=O)Oc1c(/C=C(\C#N)C(N)=O)[nH]c2ccccc12
6757748,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",COc1ccccc1/C=C1/C(=O)N(c2ccccc2)N=C1C,CHEMBL1201862,CHEMBL1576509,7.45,=,=,EC50,nM,35.6,CHEMBL1741171,EC50,uM,0.0356,35.6,7.448550002027124,COc1ccccc1/C=C1/C(=O)N(c2ccccc2)N=C1C
6753980,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CCn1nc(/C=C/c2ccccc2)nc2c(=O)n(C)c(=O)nc1-2,CHEMBL1201862,CHEMBL599924,7.43,=,=,EC50,nM,36.8,CHEMBL1741171,EC50,uM,0.0368,36.8,7.434152181326482,CCn1nc(/C=C/c2ccccc2)nc2c(=O)n(C)c(=O)nc1-2
6754027,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CC(=O)Nc1ccc(NC(=O)CSc2ncc(C(=O)Nc3ccccc3)c(=O)n2C)cc1,CHEMBL1201862,CHEMBL1364506,7.37,=,=,EC50,nM,43.0,CHEMBL1741171,EC50,uM,0.043,43.0,7.366531544420413,CC(=O)Nc1ccc(NC(=O)CSc2ncc(C(=O)Nc3ccccc3)c(=O)n2C)cc1
6776720,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",O=S(=O)(Nc1ccc(O)c2ccccc12)c1ccc(F)cc1,CHEMBL1201862,CHEMBL1733474,7.33,=,=,EC50,nM,46.6,CHEMBL1741171,EC50,uM,0.0466,46.6,7.33161408331,O=S(=O)(Nc1ccc(O)c2ccccc12)c1ccc(F)cc1
6776726,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CC(NC(=O)Cn1ncc(Cl)c(Cl)c1=O)C12CC3CC(CC(C3)C1)C2,CHEMBL1201862,CHEMBL1510156,7.33,=,=,EC50,nM,47.0,CHEMBL1741171,EC50,uM,0.047,47.0,7.327902142064282,CC(NC(=O)Cn1ncc(Cl)c(Cl)c1=O)C12CC3CC(CC(C3)C1)C2
