molecule_chembl_id,canonical_smiles,median_ec50_nM,min_ec50_nM,max_ec50_nM,median_pEC50,bioactivity_class,molecule_pref_name,max_phase,molecule_type,structure_type,metadata_canonical_smiles,standard_inchi_key,full_mwt,alogp,psa,hba,hbd,rtb,aromatic_rings,cx_logp
CHEMBL1463659,Cn1nc(-c2ccccn2)nc2c(=O)n(C)c(=O)nc1-2,19.1,19.1,19.1,7.718966632752272,active,,,Small molecule,MOL,Cn1nc(-c2ccccn2)nc2c(=O)n(C)c(=O)nc1-2,HDXJYJIPXWVRSM-UHFFFAOYSA-N,270.25,-0.56,95.56,8.0,0.0,1.0,1.0,
CHEMBL3195749,COC(=O)c1ccccc1NC1=C/C(=N\S(=O)(=O)c2cccs2)c2ccccc2C1=O,20.8,20.8,20.8,7.681936665037238,active,,,Small molecule,MOL,COC(=O)c1ccccc1NC1=C/C(=N\S(=O)(=O)c2cccs2)c2ccccc2C1=O,SQTXZQUPJDPRBX-HKOYGPOVSA-N,452.51,3.91,101.90,7.0,1.0,5.0,3.0,
CHEMBL601757,Cc1nc2c(=O)n(C)c(=O)nc-2n(C)n1,20.9,20.9,20.9,7.679853713888946,active,,,Small molecule,MOL,Cc1nc2c(=O)n(C)c(=O)nc-2n(C)n1,CPXHNWKHOFNPDO-UHFFFAOYSA-N,207.19,-1.32,82.67,7.0,0.0,0.0,0.0,
CHEMBL1334062,Cn1nc(-c2ccc(Cl)cc2)nc2c(=O)n(C)c(=O)nc1-2,30.5,30.5,30.5,7.515700160653214,active,,,Small molecule,MOL,Cn1nc(-c2ccc(Cl)cc2)nc2c(=O)n(C)c(=O)nc1-2,UCEGDYDPOSBUTP-UHFFFAOYSA-N,303.71,0.69,82.67,7.0,0.0,1.0,1.0,
CHEMBL1370184,CC(=O)Oc1c(/C=C(\C#N)C(N)=O)[nH]c2ccccc12,31.4,31.4,31.4,7.503070351926786,active,,,Small molecule,MOL,CC(=O)Oc1c(/C=C(\C#N)C(N)=O)[nH]c2ccccc12,QFVXKZBTQCPOHP-RMKNXTFCSA-N,269.26,1.49,108.97,4.0,2.0,3.0,2.0,
CHEMBL1576509,COc1ccccc1/C=C1/C(=O)N(c2ccccc2)N=C1C,35.6,35.6,35.6,7.448550002027124,active,,,Small molecule,MOL,COc1ccccc1/C=C1/C(=O)N(c2ccccc2)N=C1C,VVUUOSZAOBPVTG-FOWTUZBSSA-N,292.34,3.50,41.90,3.0,0.0,3.0,2.0,
CHEMBL599924,CCn1nc(/C=C/c2ccccc2)nc2c(=O)n(C)c(=O)nc1-2,36.8,36.8,36.8,7.434152181326482,active,,,Small molecule,MOL,CCn1nc(/C=C/c2ccccc2)nc2c(=O)n(C)c(=O)nc1-2,BMHKZVDHCKLDME-MDZDMXLPSA-N,309.33,1.03,82.67,7.0,0.0,3.0,1.0,
CHEMBL1364506,CC(=O)Nc1ccc(NC(=O)CSc2ncc(C(=O)Nc3ccccc3)c(=O)n2C)cc1,43.0,43.0,43.0,7.366531544420413,active,,,Small molecule,MOL,CC(=O)Nc1ccc(NC(=O)CSc2ncc(C(=O)Nc3ccccc3)c(=O)n2C)cc1,KHOUYLSDSMKJAN-UHFFFAOYSA-N,451.51,2.72,122.19,7.0,3.0,7.0,3.0,
CHEMBL1733474,O=S(=O)(Nc1ccc(O)c2ccccc12)c1ccc(F)cc1,46.6,46.6,46.6,7.33161408331,active,,,Small molecule,MOL,O=S(=O)(Nc1ccc(O)c2ccccc12)c1ccc(F)cc1,YSGRDPNYGMQUTB-UHFFFAOYSA-N,317.34,3.49,66.40,3.0,2.0,3.0,3.0,
CHEMBL1510156,CC(NC(=O)Cn1ncc(Cl)c(Cl)c1=O)C12CC3CC(CC(C3)C1)C2,47.0,47.0,47.0,7.327902142064282,active,,,Small molecule,MOL,CC(NC(=O)Cn1ncc(Cl)c(Cl)c1=O)C12CC3CC(CC(C3)C1)C2,YUKMHBBXSAOJDN-UHFFFAOYSA-N,384.31,3.27,63.99,4.0,1.0,4.0,1.0,
CHEMBL1507162,COc1ccc(S(=O)(=O)Nc2ccc(O)c3ccccc23)cc1,47.8,47.8,47.8,7.320572103387882,active,,,Small molecule,MOL,COc1ccc(S(=O)(=O)Nc2ccc(O)c3ccccc23)cc1,BUESECBBBYRGKQ-UHFFFAOYSA-N,329.38,3.35,75.63,4.0,2.0,4.0,3.0,
CHEMBL1590201,Cc1c([N+](=O)[O-])cnc(Sc2ccccc2)c1[N+](=O)[O-],47.9,47.9,47.9,7.319664486585436,active,,,Small molecule,MOL,Cc1c([N+](=O)[O-])cnc(Sc2ccccc2)c1[N+](=O)[O-],HXCGHDSDZHVQOC-UHFFFAOYSA-N,291.29,3.36,99.17,6.0,0.0,4.0,2.0,
CHEMBL1600684,CCc1ccc(S(=O)(=O)Nc2ccc(O)c3ccccc23)cc1,48.2,48.2,48.2,7.31695296176115,active,,,Small molecule,MOL,CCc1ccc(S(=O)(=O)Nc2ccc(O)c3ccccc23)cc1,JJXIILZJBJAPRX-UHFFFAOYSA-N,327.41,3.91,66.40,3.0,2.0,4.0,3.0,
