molecule_chembl_id,molecule_pref_name,max_phase,molecule_type,structure_type,metadata_canonical_smiles,standard_inchi_key,full_mwt,alogp,psa,hba,hbd,rtb,aromatic_rings,cx_logp
CHEMBL88326,,,Small molecule,MOL,Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,AQXYVFBSOOBBQV-UHFFFAOYSA-N,239.23,1.75,80.39,4.0,2.0,0.0,2.0,
CHEMBL390559,,,Small molecule,MOL,Cc1nn(-c2ccccc2)c(Cl)c1/C=C1\SC(=S)N(CCCCCC(=O)O)C1=O,VIZMVONYWAFVSZ-VBKFSLOCSA-N,449.99,4.68,75.43,6.0,1.0,8.0,2.0,
CHEMBL505618,,,Small molecule,MOL,CC(Nc1c[nH]c(=O)[nH]c1=O)c1ccccc1,PVIKSBZFUSEAMF-UHFFFAOYSA-N,231.25,1.24,77.75,3.0,3.0,3.0,2.0,
CHEMBL604321,,,Small molecule,MOL,CCCNC1=C(N(C(C)=O)c2cccc(F)c2)C(=O)c2ccccc2C1=O,SAPBQULMOGDOGL-UHFFFAOYSA-N,366.39,3.47,66.48,4.0,1.0,5.0,2.0,
CHEMBL586029,,,Small molecule,MOL,CCOC(=O)C1CCN(C(=O)c2c(C)oc3c2C(=O)c2ccccc2C3=O)CC1,YCQRDSJRASINSW-UHFFFAOYSA-N,395.41,2.78,93.89,6.0,0.0,3.0,2.0,
CHEMBL1305372,,,Small molecule,MOL,O=C1/C(=C/c2ccccc2F)SC(=S)N1CC(=O)N1CCCCC1c1cccnc1,XPOSSRIPTPYRCF-UNOMPAQXSA-N,441.55,4.18,53.51,5.0,0.0,4.0,2.0,
CHEMBL1305642,,,Small molecule,MOL,CC(C)c1ccc(/C=C(\c2nc3ccccc3[nH]2)S(=O)(=O)c2ccccc2)cc1,JPKDQGIHXQOKGQ-XQNSMLJCSA-N,402.52,5.66,62.82,3.0,1.0,5.0,4.0,
CHEMBL1305658,,,Small molecule,MOL,CCCc1n[nH]c2c1C(c1ccc(OC)c(CSC3=NCCS3)c1)C(C#N)=C(N)O2,ZDMLEAZNBITUHE-UHFFFAOYSA-N,441.58,3.92,109.31,8.0,2.0,6.0,2.0,
CHEMBL1305832,,,Small molecule,MOL,O=C1CC/[N+](=C\c2ccccc2Cl)[N-]1,ASFHFVPOPIEDAV-NTUHNPAUSA-N,208.65,1.99,34.18,1.0,0.0,1.0,1.0,
CHEMBL1313352,,,Small molecule,MOL,N#CC(C#N)=NNc1ccc(S(=O)(=O)N2CCCC2)cc1,WYXJIZQQZBKFTN-UHFFFAOYSA-N,303.35,1.29,109.35,6.0,1.0,4.0,1.0,
