rank,feature
1,standard_value_nM
2,CDKgraphonly_GraphFP517
3,PubChem_PubchemFP375
4,CDKgraphonly_GraphFP858
5,CDKgraphonly_GraphFP540
6,CDK_FP526
7,CDKgraphonly_GraphFP699
8,AtomPairs2D_AD2D91
9,MACCS_MACCSFP77
10,CDKgraphonly_GraphFP1004
11,CDKgraphonly_GraphFP140
12,PubChem_PubchemFP616
13,CDKgraphonly_GraphFP277
14,CDKgraphonly_GraphFP983
15,PubChem_PubchemFP712
16,CDKgraphonly_GraphFP116
17,CDKgraphonly_GraphFP904
18,PubChem_PubchemFP590
19,PubChem_PubchemFP450
20,Substructure_SubFP169
21,CDKgraphonly_GraphFP553
22,CDKgraphonly_GraphFP552
23,CDKextended_ExtFP159
24,CDKgraphonly_GraphFP698
25,PubChem_PubchemFP667
26,CDKextended_ExtFP424
27,CDKgraphonly_GraphFP892
28,CDKextended_ExtFP492
29,CDKextended_ExtFP194
30,CDKgraphonly_GraphFP271
31,PubChem_PubchemFP487
32,CDK_FP351
33,CDK_FP146
34,CDKgraphonly_GraphFP988
35,CDKextended_ExtFP251
36,PubChem_PubchemFP519
37,CDKextended_ExtFP455
38,CDKextended_ExtFP311
39,CDKgraphonly_GraphFP783
40,CDK_FP279
41,PubChem_PubchemFP696
42,CDKgraphonly_GraphFP489
43,CDK_FP322
44,PubChem_PubchemFP431
45,PubChem_PubchemFP644
46,CDKextended_ExtFP243
47,CDKextended_ExtFP846
48,PubChem_PubchemFP617
49,PubChem_PubchemFP477
50,PubChem_PubchemFP390
51,PubChem_PubchemFP613
52,CDK_FP870
53,CDKextended_ExtFP39
54,CDK_FP69
55,CDKgraphonly_GraphFP695
56,CDKgraphonly_GraphFP348
57,CDK_FP186
58,CDKgraphonly_GraphFP937
59,CDK_FP882
60,CDKgraphonly_GraphFP891
61,CDKgraphonly_GraphFP738
62,CDKgraphonly_GraphFP786
63,CDK_FP195
64,CDKgraphonly_GraphFP741
65,CDKextended_ExtFP743
66,CDKgraphonly_GraphFP716
67,CDKextended_ExtFP740
68,CDKgraphonly_GraphFP498
69,CDK_FP691
70,CDKgraphonly_GraphFP679
71,CDKgraphonly_GraphFP641
72,CDK_FP725
73,CDK_FP763
74,CDK_FP338
75,CDKextended_ExtFP610
76,CDK_FP528
77,CDKextended_ExtFP443
78,CDKextended_ExtFP850
79,MACCS_MACCSFP57
80,CDKgraphonly_GraphFP940
81,CDKgraphonly_GraphFP73
82,CDK_FP636
83,CDKgraphonly_GraphFP969
84,CDKextended_ExtFP493
85,CDK_FP619
86,CDK_FP236
87,CDKextended_ExtFP487
88,MACCS_MACCSFP75
89,CDKgraphonly_GraphFP44
90,CDK_FP271
91,AtomPairs2D_AD2D248
92,CDKextended_ExtFP404
93,CDKextended_ExtFP453
94,PubChem_PubchemFP467
95,PubChem_PubchemFP614
96,CDK_FP416
97,CDK_FP337
98,PubChem_PubchemFP193
99,PubChem_PubchemFP621
100,CDK_FP26
