rank,feature
1,CDKgraphonly_GraphFP517
2,PubChem_PubchemFP375
3,CDKgraphonly_GraphFP858
4,CDKgraphonly_GraphFP540
5,CDK_FP526
6,CDKgraphonly_GraphFP699
7,AtomPairs2D_AD2D91
8,MACCS_MACCSFP77
9,CDKgraphonly_GraphFP1004
10,CDKgraphonly_GraphFP140
11,PubChem_PubchemFP616
12,CDKgraphonly_GraphFP277
13,CDKgraphonly_GraphFP983
14,PubChem_PubchemFP712
15,CDKgraphonly_GraphFP116
16,CDKgraphonly_GraphFP904
17,PubChem_PubchemFP590
18,PubChem_PubchemFP450
19,Substructure_SubFP169
20,CDKgraphonly_GraphFP553
21,CDKgraphonly_GraphFP552
22,CDKextended_ExtFP159
23,CDKgraphonly_GraphFP698
24,PubChem_PubchemFP667
25,CDKextended_ExtFP424
26,CDKgraphonly_GraphFP892
27,CDKextended_ExtFP492
28,CDKextended_ExtFP194
29,CDKgraphonly_GraphFP271
30,PubChem_PubchemFP487
31,CDK_FP351
32,CDK_FP146
33,CDKgraphonly_GraphFP988
34,CDKextended_ExtFP251
35,PubChem_PubchemFP519
36,CDKextended_ExtFP455
37,CDKextended_ExtFP311
38,CDKgraphonly_GraphFP783
39,CDK_FP279
40,PubChem_PubchemFP696
41,CDKgraphonly_GraphFP489
42,CDK_FP322
43,PubChem_PubchemFP431
44,PubChem_PubchemFP644
45,CDKextended_ExtFP243
46,CDKextended_ExtFP846
47,PubChem_PubchemFP617
48,PubChem_PubchemFP477
49,PubChem_PubchemFP390
50,PubChem_PubchemFP613
51,CDK_FP870
52,CDKextended_ExtFP39
53,CDK_FP69
54,CDKgraphonly_GraphFP695
55,CDKgraphonly_GraphFP348
56,CDK_FP186
57,CDKgraphonly_GraphFP937
58,CDK_FP882
59,CDKgraphonly_GraphFP891
60,CDKgraphonly_GraphFP738
61,CDKgraphonly_GraphFP786
62,CDK_FP195
63,CDKgraphonly_GraphFP741
64,CDKextended_ExtFP743
65,CDKgraphonly_GraphFP716
66,CDKextended_ExtFP740
67,CDKgraphonly_GraphFP498
68,CDK_FP691
69,CDKgraphonly_GraphFP679
70,CDKgraphonly_GraphFP641
71,CDK_FP725
72,CDK_FP763
73,CDK_FP338
74,CDKextended_ExtFP610
75,CDK_FP528
76,CDKextended_ExtFP443
77,CDKextended_ExtFP850
78,MACCS_MACCSFP57
79,CDKgraphonly_GraphFP940
80,CDKgraphonly_GraphFP73
81,CDK_FP636
82,CDKgraphonly_GraphFP969
83,CDKextended_ExtFP493
84,CDK_FP619
85,CDK_FP236
86,CDKextended_ExtFP487
87,MACCS_MACCSFP75
88,CDKgraphonly_GraphFP44
89,CDK_FP271
90,AtomPairs2D_AD2D248
91,CDKextended_ExtFP404
92,CDKextended_ExtFP453
93,PubChem_PubchemFP467
94,PubChem_PubchemFP614
95,CDK_FP416
96,CDK_FP337
97,PubChem_PubchemFP193
98,PubChem_PubchemFP621
99,CDK_FP26
100,CDKextended_ExtFP439
