fingerprint,active_count,inactive_count,p_bit_given_active,p_bit_given_inactive,log_likelihood_ratio,abs_log_likelihood_ratio,bayesian_fingerprint_class
CDKgraphonly_GraphFP517,23,82,0.09486166007905138,0.32806324110671936,-1.2407867774486523,1.2407867774486523,bad_inactive_enriched
PubChem_PubchemFP375,29,87,0.11857707509881422,0.34782608695652173,-1.0761394328160512,1.0761394328160512,bad_inactive_enriched
CDKgraphonly_GraphFP699,31,87,0.12648221343873517,0.34782608695652173,-1.0116009116784799,1.0116009116784799,bad_inactive_enriched
CDKgraphonly_GraphFP858,94,34,0.37549407114624506,0.1383399209486166,0.998528830111127,0.998528830111127,good_active_enriched
PubChem_PubchemFP450,27,75,0.11067193675889328,0.30039525691699603,-0.998528830111127,0.998528830111127,bad_inactive_enriched
MACCS_MACCSFP77,33,91,0.13438735177865613,0.36363636363636365,-0.995428052432879,0.995428052432879,bad_inactive_enriched
AtomPairs2D_AD2D91,33,91,0.13438735177865613,0.36363636363636365,-0.995428052432879,0.995428052432879,bad_inactive_enriched
CDKextended_ExtFP194,32,88,0.13043478260869565,0.35177865612648224,-0.9921288082656597,0.9921288082656597,bad_inactive_enriched
CDKgraphonly_GraphFP140,34,92,0.1383399209486166,0.3675889328063241,-0.9772514316638421,0.9772514316638421,bad_inactive_enriched
PubChem_PubchemFP487,26,70,0.1067193675889328,0.28063241106719367,-0.9668430110369863,0.9668430110369863,bad_inactive_enriched
CDKgraphonly_GraphFP1004,35,92,0.1422924901185771,0.3675889328063241,-0.9490805546971458,0.9490805546971458,bad_inactive_enriched
PubChem_PubchemFP616,73,28,0.2924901185770751,0.11462450592885376,0.9367692632176956,0.9367692632176956,good_active_enriched
PubChem_PubchemFP519,26,67,0.1067193675889328,0.26877470355731226,-0.9236708391717777,0.9236708391717777,bad_inactive_enriched
CDK_FP146,34,85,0.1383399209486166,0.33992094861660077,-0.8989992347640939,0.8989992347640939,bad_inactive_enriched
CDKgraphonly_GraphFP553,32,80,0.13043478260869565,0.3201581027667984,-0.8979415932059585,0.8979415932059585,bad_inactive_enriched
CDKgraphonly_GraphFP904,35,87,0.1422924901185771,0.34782608695652173,-0.8938178760220964,0.8938178760220964,bad_inactive_enriched
