activity_id,assay_chembl_id,assay_description,canonical_smiles,document_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,standard_value_nM,pEC50,activity_label,normalized_smiles
6720436,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",O=C1/C(=C/c2ccccc2F)SC(=S)N1CC(=O)N1CCCCC1c1cccnc1,CHEMBL1201862,CHEMBL1305372,4.73,=,=,EC50,nM,18600.0,CHEMBL1741171,EC50,uM,18.6,18600.0,4.730487055782084,weak_or_moderate,O=C1/C(=C/c2ccccc2F)SC(=S)N1CC(=O)N1CCCCC1c1cccnc1
6720437,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CCc1n[nH]c2c1C(c1ccsc1)C(C#N)=C(N)O2,CHEMBL1201862,CHEMBL1794249,5.01,=,=,EC50,nM,9870.0,CHEMBL1741171,EC50,uM,9.87,9870.0,5.005682847330363,weak_or_moderate,CCc1n[nH]c2c1C(c1ccsc1)C(C#N)=C(N)O2
6720438,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",COc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc(Br)c1OC,CHEMBL1201862,CHEMBL1735239,6.56,=,=,EC50,nM,274.0,CHEMBL1741171,EC50,uM,0.274,274.0,6.562249437179612,potent,COc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc(Br)c1OC
6720439,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",COc1cc(C2NC(=O)C(C#N)=C(Nc3cccc(C)c3)S2)ccc1O,CHEMBL1201862,CHEMBL1323586,4.7,=,=,EC50,nM,20000.0,CHEMBL1741171,EC50,uM,20.0,20000.0,4.698970004336019,weak_or_moderate,COc1cc(C2NC(=O)C(C#N)=C(Nc3cccc(C)c3)S2)ccc1O
6720440,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",O=C(NCc1ccccc1)c1nc(S(=O)(=O)Cc2ccccc2)ncc1Cl,CHEMBL1201862,CHEMBL1403320,5.31,=,=,EC50,nM,4880.0,CHEMBL1741171,EC50,uM,4.88,4880.0,5.311580177997289,weak_or_moderate,O=C(NCc1ccccc1)c1nc(S(=O)(=O)Cc2ccccc2)ncc1Cl
6720441,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",O=S(=O)(c1ccccc1)c1ncc(C(F)(F)F)cc1Cl,CHEMBL1201862,CHEMBL1503292,5.5,=,=,EC50,nM,3160.0,CHEMBL1741171,EC50,uM,3.16,3160.0,5.500312917381596,weak_or_moderate,O=S(=O)(c1ccccc1)c1ncc(C(F)(F)F)cc1Cl
6720443,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",CCOC(=O)c1c(C)oc2c1c(/C=N/CCC(=O)O)c(O)c1ccccc12,CHEMBL1201862,CHEMBL3198784,6.41,=,=,EC50,nM,390.0,CHEMBL1741171,EC50,uM,0.39,390.0,6.4089353929735005,potent,CCOC(=O)c1c(C)oc2c1c(/C=N/CCC(=O)O)c(O)c1ccccc12
6720444,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",COC(=O)c1cc(C)nc2c1C(=O)C(=O)C=C2N1CCOCC1,CHEMBL1201862,CHEMBL1432707,6.7,=,=,EC50,nM,199.0,CHEMBL1741171,EC50,uM,0.199,199.0,6.701146923590294,potent,COC(=O)c1cc(C)nc2c1C(=O)C(=O)C=C2N1CCOCC1
6720445,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",O=C(CCl)Nc1ccc(N=Nc2ccccc2)cc1,CHEMBL1201862,CHEMBL1571875,5.66,=,=,EC50,nM,2180.0,CHEMBL1741171,EC50,uM,2.18,2180.0,5.661543506395395,weak_or_moderate,O=C(CCl)Nc1ccc(N=Nc2ccccc2)cc1
6720446,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",COc1ccc(/C=C2/C(=O)N(c3ccccc3)N=C2C)cc1OC,CHEMBL1201862,CHEMBL1414175,5.84,=,=,EC50,nM,1460.0,CHEMBL1741171,EC50,uM,1.46,1460.0,5.835647144215563,weak_or_moderate,COc1ccc(/C=C2/C(=O)N(c3ccccc3)N=C2C)cc1OC
6720447,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cc1ccc(S(=O)(=O)NC(C)C(=O)Oc2ccc3c(=O)c(-c4ccc([N+](=O)[O-])cc4)c(C)oc3c2)cc1,CHEMBL1201862,CHEMBL1520989,4.43,=,=,EC50,nM,37100.0,CHEMBL1741171,EC50,uM,37.1,37100.0,4.430626090384954,weak_or_moderate,Cc1ccc(S(=O)(=O)NC(C)C(=O)Oc2ccc3c(=O)c(-c4ccc([N+](=O)[O-])cc4)c(C)oc3c2)cc1
6720448,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cc1nn(-c2cccc(Cl)c2)c2c1C(c1ccncc1)C(C#N)=C(N)O2,CHEMBL1201862,CHEMBL1493700,5.11,=,=,EC50,nM,7710.0,CHEMBL1741171,EC50,uM,7.71,7710.0,5.112945621949043,weak_or_moderate,Cc1nn(-c2cccc(Cl)c2)c2c1C(c1ccncc1)C(C#N)=C(N)O2
6720450,CHEMBL1794426,"PUBCHEM_BIOASSAY: Fluorescence Cell-Free Homogeneous Dose Retest to Identify Inhibitors of RecA-Intein Splicing Activity. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID2097, AID2223, AID489010, AID492950]",Cc1nn(Cc2ccccc2)c2c1C(c1ccccc1)C(C#N)=C(N)O2,CHEMBL1201862,CHEMBL1567632,5.44,=,=,EC50,nM,3640.0,CHEMBL1741171,EC50,uM,3.64,3640.0,5.438898616350944,weak_or_moderate,Cc1nn(Cc2ccccc2)c2c1C(c1ccccc1)C(C#N)=C(N)O2
