molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1305372,O=C1/C(=C/c2ccccc2F)SC(=S)N1CC(=O)N1CCCCC1c1cccnc1,18600.0,inactive
CHEMBL1794249,CCc1n[nH]c2c1C(c1ccsc1)C(C#N)=C(N)O2,9870.0,intermediate
CHEMBL1735239,COc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc(Br)c1OC,274.0,active
CHEMBL1323586,COc1cc(C2NC(=O)C(C#N)=C(Nc3cccc(C)c3)S2)ccc1O,20000.0,inactive
CHEMBL1403320,O=C(NCc1ccccc1)c1nc(S(=O)(=O)Cc2ccccc2)ncc1Cl,4880.0,intermediate
CHEMBL1503292,O=S(=O)(c1ccccc1)c1ncc(C(F)(F)F)cc1Cl,3160.0,intermediate
CHEMBL3198784,CCOC(=O)c1c(C)oc2c1c(/C=N/CCC(=O)O)c(O)c1ccccc12,390.0,active
CHEMBL1432707,COC(=O)c1cc(C)nc2c1C(=O)C(=O)C=C2N1CCOCC1,199.0,active
CHEMBL1571875,O=C(CCl)Nc1ccc(N=Nc2ccccc2)cc1,2180.0,intermediate
CHEMBL1414175,COc1ccc(/C=C2/C(=O)N(c3ccccc3)N=C2C)cc1OC,1460.0,intermediate
CHEMBL1520989,Cc1ccc(S(=O)(=O)NC(C)C(=O)Oc2ccc3c(=O)c(-c4ccc([N+](=O)[O-])cc4)c(C)oc3c2)cc1,37100.0,inactive
CHEMBL1493700,Cc1nn(-c2cccc(Cl)c2)c2c1C(c1ccncc1)C(C#N)=C(N)O2,7710.0,intermediate
CHEMBL1567632,Cc1nn(Cc2ccccc2)c2c1C(c1ccccc1)C(C#N)=C(N)O2,3640.0,intermediate
CHEMBL1393283,CCOC(=O)C1=C(c2ccccc2)N=C(N)NC1c1ccc(OCc2ccc(C(=O)OC)cc2)cc1,11800.0,inactive
CHEMBL1512368,Cc1ccc(S(=O)(=O)N(C)c2ccc(OC(=O)CSCc3c(C)noc3C)cc2)cc1C,71700.0,inactive
CHEMBL1794278,CCn1nc(C)c(C2C(C#N)=C(N)Oc3[nH]nc(C)c32)c1C,12500.0,inactive
CHEMBL1471779,COC(=O)c1c(C)oc2ccc(N(C(=O)c3ccncc3)S(=O)(=O)c3ccc4ccccc4c3)cc12,4080.0,intermediate
CHEMBL88326,Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,39000.0,inactive
CHEMBL1323536,O=C(NCc1cccnc1)/C(=C\c1ccc(-c2ccc(Br)cc2)o1)S(=O)(=O)c1ccccc1,20200.0,inactive
CHEMBL1471907,COc1cc(/C=C2/SC(=S)NC2=O)ccc1OS(=O)(=O)c1ccc(C)cc1,11900.0,inactive
CHEMBL1375884,Cc1cccc(CS(=O)(=O)c2ncc(Cl)c(C(=O)Nc3ccc(F)cc3)n2)c1,2190.0,intermediate
CHEMBL1345722,CCCc1nc(SCC(=O)N2CCc3ccccc3C2)c2ccccc2n1,14600.0,inactive
CHEMBL1393351,C[C@@H]1CC=C[C@H]2[C@H]1C(=O)N(Cc1ccccc1)[C@H]2c1ccc(F)c(Br)c1,23000.0,inactive
CHEMBL1335964,COCc1n[nH]c2c1C(c1ccc(OC)c(OC)c1)C(C#N)=C(N)O2,6250.0,intermediate
CHEMBL1449794,Cc1ccccc1CS(=O)(=O)c1nnc([C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)o1,8540.0,intermediate
CHEMBL1368609,Clc1ncnc2scc(C3COc4ccccc4O3)c12,3970.0,intermediate
CHEMBL1313412,Oc1cc(-c2ccc(C3CCCCC3)cc2)[nH]n1,1010.0,intermediate
CHEMBL1492541,CN1c2ccccc2C(C)(C)C12C=Nc1c(cc(N3CCOCC3)c3ccccc13)O2,50500.0,inactive
CHEMBL1402456,Oc1nc(Nc2ccccc2)cc2ccccc12,1900.0,intermediate
CHEMBL1437683,O=[N+]([O-])c1ccc(S(=O)(=O)c2cccc(C(F)(F)F)c2)nc1,14200.0,inactive
CHEMBL1313352,N#CC(C#N)=NNc1ccc(S(=O)(=O)N2CCCC2)cc1,23900.0,inactive
CHEMBL3208288,COC(=O)N/N=C\c1ccc(OC(=O)c2ccco2)cc1,16700.0,inactive
CHEMBL1521024,Cc1n[nH]c(O)c1C(c1cc2c(cc1Br)OCO2)c1c(C)n[nH]c1O,352.0,active
CHEMBL1313555,Br.COc1ccc(-c2csc(CCN3N=C(C)CC3=O)n2)cc1,1540.0,intermediate
