molecule_chembl_id,n_records,median_ec50_nM,min_ec50_nM,max_ec50_nM,median_pEC50,activity_label
CHEMBL1463659,1,19.1,19.1,19.1,7.718966632752272,potent
CHEMBL3195749,1,20.8,20.8,20.8,7.681936665037238,potent
CHEMBL601757,1,20.9,20.9,20.9,7.679853713888946,potent
CHEMBL1334062,1,30.5,30.5,30.5,7.515700160653214,potent
CHEMBL1370184,1,31.4,31.4,31.4,7.503070351926786,potent
CHEMBL1576509,1,35.6,35.6,35.6,7.448550002027124,potent
CHEMBL599924,1,36.8,36.8,36.8,7.434152181326482,potent
CHEMBL1364506,1,43.0,43.0,43.0,7.366531544420413,potent
CHEMBL1733474,1,46.6,46.6,46.6,7.33161408331,potent
CHEMBL1510156,1,47.0,47.0,47.0,7.327902142064282,potent
CHEMBL1507162,1,47.8,47.8,47.8,7.320572103387882,potent
CHEMBL1590201,1,47.9,47.9,47.9,7.319664486585436,potent
CHEMBL1600684,1,48.2,48.2,48.2,7.31695296176115,potent
CHEMBL579318,1,63.9,63.9,63.9,7.1944991418416,potent
CHEMBL2003651,1,66.3,66.3,66.3,7.178486471595226,potent
CHEMBL1573331,1,66.6,66.6,66.6,7.176525770829699,potent
CHEMBL3197091,1,69.6,69.6,69.6,7.157390760389438,potent
CHEMBL1479483,1,70.2,70.2,70.2,7.153662887870195,potent
CHEMBL1329726,1,72.8,72.8,72.8,7.137868620686962,potent
CHEMBL1601281,1,74.4,74.4,74.4,7.128427064454121,potent
CHEMBL1521758,1,74.5,74.5,74.5,7.127843727251707,potent
CHEMBL36654,1,79.7,79.7,79.7,7.098541678603888,potent
CHEMBL1405964,1,80.1,80.1,80.1,7.096367483915762,potent
CHEMBL1384702,1,82.5,82.5,82.5,7.0835460514500745,potent
CHEMBL1417929,1,101.0,101.0,101.0,6.995678626217357,potent
CHEMBL1489633,1,104.0,104.0,104.0,6.982966660701219,potent
CHEMBL1542693,1,108.0,108.0,108.0,6.96657624451305,potent
CHEMBL1583199,1,109.0,109.0,109.0,6.962573502059376,potent
CHEMBL3196451,1,119.0,119.0,119.0,6.924453038607469,potent
CHEMBL2000517,1,123.0,123.0,123.0,6.910094888560602,potent
CHEMBL3195410,1,124.0,124.0,124.0,6.906578314837764,potent
CHEMBL1479754,1,132.0,132.0,132.0,6.8794260687941495,potent
CHEMBL3191855,1,141.0,141.0,141.0,6.85078088734462,potent
CHEMBL2095095,1,143.0,143.0,143.0,6.844663962534938,potent
CHEMBL1307207,1,146.0,146.0,146.0,6.835647144215563,potent
CHEMBL1454614,1,150.0,150.0,150.0,6.823908740944319,potent
CHEMBL1383986,1,152.0,152.0,152.0,6.818156412055227,potent
CHEMBL1718805,1,152.0,152.0,152.0,6.818156412055227,potent
CHEMBL1452061,1,155.0,155.0,155.0,6.809668301829708,potent
CHEMBL1734820,1,158.0,158.0,158.0,6.801342913045577,potent
CHEMBL1559655,1,159.0,159.0,159.0,6.798602875679549,potent
CHEMBL1471498,1,160.0,160.0,160.0,6.795880017344075,potent
CHEMBL1508839,1,175.0,175.0,175.0,6.756961951313706,potent
CHEMBL1395600,1,178.0,178.0,178.0,6.7495799976911055,potent
CHEMBL1411044,1,178.0,178.0,178.0,6.7495799976911055,potent
CHEMBL1567246,1,183.0,183.0,183.0,6.73754891026957,potent
CHEMBL3192555,1,185.0,185.0,185.0,6.732828271596986,potent
CHEMBL1706216,1,187.0,187.0,187.0,6.7281583934635005,potent
CHEMBL1563903,1,189.0,189.0,189.0,6.723538195826755,potent
CHEMBL1499893,1,190.0,190.0,190.0,6.721246399047171,potent
CHEMBL1992432,1,191.0,191.0,191.0,6.718966632752272,potent
CHEMBL1584380,1,194.0,194.0,194.0,6.7121982700697735,potent
CHEMBL1469117,1,195.0,195.0,195.0,6.709965388637482,potent
CHEMBL1497295,1,195.0,195.0,195.0,6.709965388637482,potent
CHEMBL1727428,1,195.0,195.0,195.0,6.709965388637482,potent
CHEMBL1432707,1,199.0,199.0,199.0,6.701146923590294,potent
CHEMBL1337592,1,202.0,202.0,202.0,6.694648630553376,potent
CHEMBL1418852,1,205.0,205.0,205.0,6.688246138944246,potent
CHEMBL1329597,1,209.0,209.0,209.0,6.679853713888946,potent
CHEMBL1307520,1,211.0,211.0,211.0,6.675717544702307,potent
CHEMBL1383058,1,214.0,214.0,214.0,6.669586226650809,potent
CHEMBL1345835,1,215.0,215.0,215.0,6.667561540084394,potent
CHEMBL1991885,1,216.0,216.0,216.0,6.665546248849069,potent
CHEMBL3190880,1,216.0,216.0,216.0,6.665546248849069,potent
CHEMBL1393004,1,217.0,217.0,217.0,6.66354026615147,potent
CHEMBL1607263,1,217.0,217.0,217.0,6.66354026615147,potent
CHEMBL1365234,1,219.0,219.0,219.0,6.6595558851598815,potent
CHEMBL3192701,1,220.0,220.0,220.0,6.657577319177793,potent
CHEMBL1620590,1,221.0,221.0,221.0,6.655607726314889,potent
CHEMBL1519642,1,223.0,223.0,223.0,6.651695136951839,potent
CHEMBL1510339,1,228.0,228.0,228.0,6.642065152999546,potent
CHEMBL1980604,1,229.0,229.0,229.0,6.6401645176601125,potent
CHEMBL1502781,1,231.0,231.0,231.0,6.636388020107855,potent
CHEMBL1568691,1,232.0,232.0,232.0,6.634512015109101,potent
CHEMBL1442136,1,233.0,233.0,233.0,6.632644078973981,potent
CHEMBL1465938,1,234.0,234.0,234.0,6.630784142589857,potent
CHEMBL1351755,1,236.0,236.0,236.0,6.627087997029893,potent
CHEMBL1506351,1,238.0,238.0,238.0,6.623423042943488,potent
CHEMBL1503106,1,239.0,239.0,239.0,6.621602099051863,potent
CHEMBL1451836,1,240.0,240.0,240.0,6.619788758288394,potent
CHEMBL1499544,1,240.0,240.0,240.0,6.619788758288394,potent
CHEMBL1503656,1,241.0,241.0,241.0,6.617982957425132,potent
CHEMBL1331211,1,244.0,244.0,244.0,6.61261017366127,potent
CHEMBL1566889,1,247.0,247.0,247.0,6.607303046740334,potent
CHEMBL1384670,1,248.0,248.0,248.0,6.605548319173783,potent
CHEMBL1500227,1,248.0,248.0,248.0,6.605548319173783,potent
CHEMBL1568510,1,248.0,248.0,248.0,6.605548319173783,potent
CHEMBL1542804,1,249.0,249.0,249.0,6.603800652904264,potent
CHEMBL1388300,1,256.0,256.0,256.0,6.59176003468815,potent
CHEMBL1505358,1,262.0,262.0,262.0,6.581698708680255,potent
CHEMBL1598272,1,262.0,262.0,262.0,6.581698708680255,potent
CHEMBL1982305,1,266.0,266.0,266.0,6.575118363368933,potent
CHEMBL1484934,1,269.0,269.0,269.0,6.570247719997592,potent
CHEMBL1546297,1,270.0,270.0,270.0,6.568636235841012,potent
CHEMBL1572077,1,274.0,274.0,274.0,6.562249437179612,potent
CHEMBL1735239,1,274.0,274.0,274.0,6.562249437179612,potent
CHEMBL1412588,1,275.0,275.0,275.0,6.560667306169737,potent
CHEMBL1342337,1,277.0,277.0,277.0,6.557520230935552,potent
CHEMBL1609672,1,283.0,283.0,283.0,6.548213564475709,potent
CHEMBL1389296,1,289.0,289.0,289.0,6.539102157243452,potent
CHEMBL1481463,1,291.0,291.0,291.0,6.536107011014092,potent
CHEMBL1794123,1,294.0,294.0,294.0,6.531652669587842,potent
CHEMBL1370838,1,297.0,297.0,297.0,6.527243550682788,potent
CHEMBL1415513,1,297.0,297.0,297.0,6.527243550682788,potent
CHEMBL1439030,1,297.0,297.0,297.0,6.527243550682788,potent
CHEMBL171632,1,297.0,297.0,297.0,6.527243550682788,potent
CHEMBL1445617,1,299.0,299.0,299.0,6.52432881167557,potent
CHEMBL1537149,1,305.0,305.0,305.0,6.515700160653214,potent
CHEMBL1987894,1,306.0,306.0,306.0,6.514278573518419,potent
CHEMBL1447341,1,308.0,308.0,308.0,6.511449283499555,potent
CHEMBL1359933,1,309.0,309.0,309.0,6.510041520575165,potent
CHEMBL1568897,1,312.0,312.0,312.0,6.505845405981557,potent
CHEMBL1318998,1,315.0,315.0,315.0,6.501689446210399,potent
CHEMBL1731689,1,315.0,315.0,315.0,6.501689446210399,potent
CHEMBL1430372,1,318.0,318.0,318.0,6.497572880015568,potent
CHEMBL1472126,1,327.0,327.0,327.0,6.485452247339714,potent
CHEMBL1304902,1,329.0,329.0,329.0,6.482804102050025,potent
CHEMBL1359282,1,329.0,329.0,329.0,6.482804102050025,potent
CHEMBL1598561,1,333.0,333.0,333.0,6.47755576649368,potent
CHEMBL1455957,1,337.0,337.0,337.0,6.4723700991286615,potent
CHEMBL1622566,1,338.0,338.0,338.0,6.471083299722345,potent
CHEMBL1388358,1,339.0,339.0,339.0,6.4698003017969175,potent
CHEMBL1409740,1,340.0,340.0,340.0,6.468521082957745,potent
CHEMBL57013,1,342.0,342.0,342.0,6.465973893943865,potent
CHEMBL1385784,1,346.0,346.0,346.0,6.460923901207224,potent
CHEMBL1388137,1,347.0,347.0,347.0,6.459670525209127,potent
CHEMBL1347107,1,348.0,348.0,348.0,6.458420756053419,potent
CHEMBL1540463,1,351.0,351.0,351.0,6.454692883534176,potent
CHEMBL1521024,1,352.0,352.0,352.0,6.453457336521868,potent
CHEMBL1321538,1,355.0,355.0,355.0,6.449771646944906,potent
CHEMBL1423501,1,356.0,356.0,356.0,6.448550002027124,potent
CHEMBL1491717,1,358.0,358.0,358.0,6.446116973356125,potent
CHEMBL1544793,1,361.0,361.0,361.0,6.442492798094342,potent
CHEMBL1989853,1,364.0,364.0,364.0,6.438898616350944,potent
CHEMBL1349637,1,377.0,377.0,377.0,6.423658649794207,potent
CHEMBL1597358,1,380.0,380.0,380.0,6.42021640338319,potent
CHEMBL1565816,1,388.0,388.0,388.0,6.411168274405792,potent
CHEMBL3144999,1,390.0,390.0,390.0,6.4089353929735005,potent
CHEMBL3198784,1,390.0,390.0,390.0,6.4089353929735005,potent
CHEMBL1331573,1,393.0,393.0,393.0,6.405607449624574,potent
CHEMBL1516914,1,396.0,396.0,396.0,6.402304814074488,potent
CHEMBL1492926,1,400.0,400.0,400.0,6.3979400086720375,potent
CHEMBL1410350,1,401.0,401.0,401.0,6.396855627379818,potent
CHEMBL1537553,1,402.0,402.0,402.0,6.39577394691553,potent
CHEMBL1313973,1,405.0,405.0,405.0,6.392544976785331,potent
CHEMBL3195220,1,418.0,418.0,418.0,6.3788237182249645,potent
CHEMBL3216654,1,420.0,420.0,420.0,6.376750709602099,potent
CHEMBL1993627,1,430.0,430.0,430.0,6.366531544420413,potent
CHEMBL1537099,1,431.0,431.0,431.0,6.3655227298392685,potent
CHEMBL1364176,1,444.0,444.0,444.0,6.35261702988538,potent
CHEMBL1537588,1,446.0,446.0,446.0,6.350665141287858,potent
CHEMBL1314125,1,450.0,450.0,450.0,6.346787486224656,potent
CHEMBL1580990,1,451.0,451.0,451.0,6.345823458122039,potent
CHEMBL1558210,1,452.0,452.0,452.0,6.3448615651886175,potent
CHEMBL1557253,1,453.0,453.0,453.0,6.343901797987169,potent
CHEMBL1569910,1,454.0,454.0,454.0,6.342944147142896,potent
CHEMBL1506353,1,461.0,461.0,461.0,6.336299074610352,potent
CHEMBL1373969,1,467.0,467.0,467.0,6.330683119433887,potent
CHEMBL1325219,1,468.0,468.0,468.0,6.329754146925875,potent
CHEMBL1421463,1,468.0,468.0,468.0,6.329754146925875,potent
CHEMBL1303810,1,472.0,472.0,472.0,6.326058001365912,potent
CHEMBL1485010,1,473.0,473.0,473.0,6.325138859262188,potent
CHEMBL1442944,1,481.0,481.0,481.0,6.317854923626168,potent
CHEMBL1463564,1,481.0,481.0,481.0,6.317854923626168,potent
CHEMBL1469676,1,481.0,481.0,481.0,6.317854923626168,potent
CHEMBL1483562,1,481.0,481.0,481.0,6.317854923626168,potent
CHEMBL1587181,1,481.0,481.0,481.0,6.317854923626168,potent
CHEMBL1479725,1,483.0,483.0,483.0,6.316052869248487,potent
CHEMBL1603760,1,484.0,484.0,484.0,6.315154638355588,potent
CHEMBL1567159,1,490.0,490.0,490.0,6.309803919971486,potent
CHEMBL1529238,1,499.0,499.0,499.0,6.30189945437661,potent
CHEMBL1374083,1,502.0,502.0,502.0,6.29929628285498,potent
CHEMBL1506757,1,503.0,503.0,503.0,6.298432014944073,potent
CHEMBL1537132,1,504.0,504.0,504.0,6.297569463554474,potent
CHEMBL1543295,1,504.0,504.0,504.0,6.297569463554474,potent
CHEMBL1483312,1,505.0,505.0,505.0,6.296708621881338,potent
CHEMBL1430074,1,506.0,506.0,506.0,6.2958494831602,potent
CHEMBL1542809,1,506.0,506.0,506.0,6.2958494831602,potent
CHEMBL1445962,1,512.0,512.0,512.0,6.290730039024169,potent
CHEMBL1381030,1,517.0,517.0,517.0,6.286509456906058,potent
CHEMBL1420929,1,518.0,518.0,518.0,6.285670240254767,potent
CHEMBL1568113,1,520.0,520.0,520.0,6.2839966563652006,potent
CHEMBL1350085,1,524.0,524.0,524.0,6.280668713016274,potent
CHEMBL1382853,1,524.0,524.0,524.0,6.280668713016274,potent
CHEMBL1492010,1,527.0,527.0,527.0,6.278189384787453,potent
CHEMBL1587473,1,529.0,529.0,529.0,6.276544327964814,potent
CHEMBL1477756,1,531.0,531.0,531.0,6.274905478918531,potent
CHEMBL3198793,1,532.0,532.0,532.0,6.274088367704952,potent
CHEMBL1399938,1,536.0,536.0,536.0,6.270835210307229,potent
CHEMBL1400375,1,536.0,536.0,536.0,6.270835210307229,potent
CHEMBL1384468,1,541.0,541.0,541.0,6.266802734893431,potent
CHEMBL1496534,1,547.0,547.0,547.0,6.262012673666569,potent
CHEMBL1343343,1,548.0,548.0,548.0,6.261219441515631,potent
CHEMBL1383249,1,548.0,548.0,548.0,6.261219441515631,potent
CHEMBL1467294,1,551.0,551.0,551.0,6.2588484011482155,potent
CHEMBL1322618,1,557.0,557.0,557.0,6.2541448048262716,potent
