molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class,bioactivity_numeric
CHEMBL1305372,O=C1/C(=C/c2ccccc2F)SC(=S)N1CC(=O)N1CCCCC1c1cccnc1,18600.0,inactive,0
CHEMBL1735239,COc1cc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc(Br)c1OC,274.0,active,1
CHEMBL1323586,COc1cc(C2NC(=O)C(C#N)=C(Nc3cccc(C)c3)S2)ccc1O,20000.0,inactive,0
CHEMBL3198784,CCOC(=O)c1c(C)oc2c1c(/C=N/CCC(=O)O)c(O)c1ccccc12,390.0,active,1
CHEMBL1432707,COC(=O)c1cc(C)nc2c1C(=O)C(=O)C=C2N1CCOCC1,199.0,active,1
CHEMBL1520989,Cc1ccc(S(=O)(=O)NC(C)C(=O)Oc2ccc3c(=O)c(-c4ccc([N+](=O)[O-])cc4)c(C)oc3c2)cc1,37100.0,inactive,0
CHEMBL1393283,CCOC(=O)C1=C(c2ccccc2)N=C(N)NC1c1ccc(OCc2ccc(C(=O)OC)cc2)cc1,11800.0,inactive,0
CHEMBL1512368,Cc1ccc(S(=O)(=O)N(C)c2ccc(OC(=O)CSCc3c(C)noc3C)cc2)cc1C,71700.0,inactive,0
CHEMBL1794278,CCn1nc(C)c(C2C(C#N)=C(N)Oc3[nH]nc(C)c32)c1C,12500.0,inactive,0
CHEMBL88326,Nc1ccc(O)c2c1C(=O)c1ccccc1C2=O,39000.0,inactive,0
CHEMBL1323536,O=C(NCc1cccnc1)/C(=C\c1ccc(-c2ccc(Br)cc2)o1)S(=O)(=O)c1ccccc1,20200.0,inactive,0
CHEMBL1471907,COc1cc(/C=C2/SC(=S)NC2=O)ccc1OS(=O)(=O)c1ccc(C)cc1,11900.0,inactive,0
CHEMBL1345722,CCCc1nc(SCC(=O)N2CCc3ccccc3C2)c2ccccc2n1,14600.0,inactive,0
CHEMBL1393351,C[C@@H]1CC=C[C@H]2[C@H]1C(=O)N(Cc1ccccc1)[C@H]2c1ccc(F)c(Br)c1,23000.0,inactive,0
CHEMBL1492541,CN1c2ccccc2C(C)(C)C12C=Nc1c(cc(N3CCOCC3)c3ccccc13)O2,50500.0,inactive,0
CHEMBL1437683,O=[N+]([O-])c1ccc(S(=O)(=O)c2cccc(C(F)(F)F)c2)nc1,14200.0,inactive,0
CHEMBL1313352,N#CC(C#N)=NNc1ccc(S(=O)(=O)N2CCCC2)cc1,23900.0,inactive,0
CHEMBL3208288,COC(=O)N/N=C\c1ccc(OC(=O)c2ccco2)cc1,16700.0,inactive,0
CHEMBL1521024,Cc1n[nH]c(O)c1C(c1cc2c(cc1Br)OCO2)c1c(C)n[nH]c1O,352.0,active,1
CHEMBL1735634,COc1ccc(CC(=O)O/N=C(\N)Cc2cccc3ccccc23)cc1OC,18200.0,inactive,0
CHEMBL1432870,CC(C)(C)n1nnnc1C(c1cccs1)N(Cc1cccnc1)Cc1ccccc1Cl,59000.0,inactive,0
CHEMBL1447341,O=C(OCn1ncc(Cl)c(Cl)c1=O)c1ccc(C(F)(F)F)cc1,308.0,active,1
CHEMBL1581233,Cc1cccc(CN2CCN(C(=O)CCl)CC2)c1,20200.0,inactive,0
CHEMBL1531579,NNc1nnc(S)n1N,86400.0,inactive,0
CHEMBL1447306,CC1=NNC(=O)/C1=C\c1cn(-c2ccccc2)nc1-c1ccccc1,978.0,active,1
CHEMBL1542492,CC(NC(=O)/C(C#N)=C/c1ccc([N+](=O)[O-])o1)c1ccccc1,35000.0,inactive,0
CHEMBL1572077,Cc1n[nH]c(O)c1C(c1ccc(N(C)C)c(Br)c1)c1c(C)n[nH]c1O,274.0,active,1
CHEMBL505618,CC(Nc1c[nH]c(=O)[nH]c1=O)c1ccccc1,15500.0,inactive,0
CHEMBL1464042,COC(=O)c1sc(-c2ccc(C(C)(C)C)cc2)cc1NC(=O)/C=C/C(=O)O,701.0,active,1
CHEMBL1572001,CC(C)(C)c1ccc(-n2nc(C#N)c(Cl)cc2=O)cc1,989.0,active,1
CHEMBL1481657,CCCCCc1cc(=O)oc2c(C(CCN3CCCC(C)C3)c3ccc4c(c3)OCO4)c(OC)cc(OC)c12,11600.0,inactive,0
CHEMBL1533248,CC(C)(C)c1c(Cl)c(O)c(-c2ccccc2)c(=O)n1-c1ccccc1,27200.0,inactive,0
CHEMBL1550425,COc1ccc(-n2c(=O)c3ccccc3c3ccccc3c2=O)cc1,23300.0,inactive,0
CHEMBL1533269,O=C(CN1C(=O)S/C(=C\C=C\c2ccccc2)C1=O)Nc1ccccc1C(=O)O,10800.0,inactive,0
CHEMBL1415639,CCOC(=O)CC1=NN(c2ccccc2)C(=O)C1,10100.0,inactive,0
CHEMBL1463943,COc1ccc(/C=C/C(=O)c2ccccc2)cc1COc1ccc(F)cc1,37200.0,inactive,0
CHEMBL1581228,CCOc1ccccc1Oc1coc2cc(OC(=O)c3ccco3)ccc2c1=O,35700.0,inactive,0
CHEMBL390559,Cc1nn(-c2ccccc2)c(Cl)c1/C=C1\SC(=S)N(CCCCCC(=O)O)C1=O,14200.0,inactive,0
CHEMBL1345835,O=C(NC1CCCC1)C(c1ccc(F)cc1)N(Cc1ccccc1Cl)C(=O)CCl,215.0,active,1
CHEMBL1589428,CCOC(=O)C(C)Sc1ncnc2c1nnn2-c1ccc(F)cc1,10900.0,inactive,0
CHEMBL1542693,CN(C1=C(NC(=O)c2ccccc2)C(=O)c2ccccc2C1=O)C1CCS(=O)(=O)C1,108.0,active,1
CHEMBL1503656,CSc1ccc(C(c2c(C)n[nH]c2O)c2c(C)n[nH]c2O)cc1,241.0,active,1
CHEMBL1385784,CC(=O)n1cc(N(C(=O)CCl)c2ccc(Cl)cc2)c2ccccc21,346.0,active,1
CHEMBL1345762,Cc1ccc(C)c(-c2ccc(=O)n(Cc3cccc(Br)c3)n2)c1,24100.0,inactive,0
CHEMBL1454614,O=C1C=C(N2CCOCC2)c2ccccc2C1=O,150.0,active,1
CHEMBL1794153,O=C(Oc1ccc(N2C(=O)C3C4CCC(C4)C3C2=O)cc1)c1ccco1,13000.0,inactive,0
CHEMBL1472126,COc1ccc(N(C(=O)CCl)C(C(=O)NCCc2ccccc2)c2cccs2)cc1,327.0,active,1
CHEMBL1433014,N#CC1=C(N)C(C#N)(C#N)[C@H](c2c(F)cccc2F)[C@H]2CC3(CC=C12)OCCO3,22200.0,inactive,0
CHEMBL586029,CCOC(=O)C1CCN(C(=O)c2c(C)oc3c2C(=O)c2ccccc2C3=O)CC1,645.0,active,1
CHEMBL1598857,COC(=O)c1c(NC(=O)/C=C/C(=O)O)sc(C)c1-c1ccc(C)cc1,11100.0,inactive,0
CHEMBL1415513,Cc1n[nH]c(O)c1C(c1ccc(-c2ccc(F)cc2)o1)c1c(C)n[nH]c1O,297.0,active,1
CHEMBL3194842,CN1C(=O)/C(=N\OC(=O)c2cccc3ccccc23)c2ccccc21,15000.0,inactive,0
CHEMBL1447513,CC(=O)NC1=C(Nc2ccc(N(C)C)cc2)C(=O)c2ccccc2C1=O,46600.0,inactive,0
CHEMBL405110,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-],30000.0,inactive,0
CHEMBL1590201,Cc1c([N+](=O)[O-])cnc(Sc2ccccc2)c1[N+](=O)[O-],47.9,active,1
CHEMBL339561,Cc1ccccc1-c1cc2c(nn1)-c1ccccc1C2=O,891.0,active,1
CHEMBL1410897,CC(C)c1nnc(NC(=O)CCS(=O)(=O)c2nc(-c3cccs3)cc(C(F)(F)F)n2)s1,30400.0,inactive,0
CHEMBL1490987,CCCc1nnc(NC(=O)c2nc(S(=O)(=O)Cc3ccc(C)cc3)ncc2Cl)s1,86700.0,inactive,0
CHEMBL2006840,COc1cccc(/C=N/Nc2cc(C)nc(-c3ccccc3O)n2)c1O,356700.0,inactive,0
CHEMBL1589625,Cc1n[nH]c2c1C(c1c(C)nn(-c3ccccc3)c1Cl)C(C#N)=C(N)O2,13500.0,inactive,0
CHEMBL1313973,Clc1ccc(-c2nnc(Sc3nc4ccccc4o3)c3ccccc23)cc1,405.0,active,1
CHEMBL1494100,CCCCn1c(N)c(C(=O)NCc2cccs2)c2nc3ccccc3nc21,47400.0,inactive,0
CHEMBL171632,CC1(C)C=C2C(=NN(c3ccccc3)C(N)=C2C#N)CO1,297.0,active,1
CHEMBL1393716,COc1ccc2nc(SCC(=O)NN)cc(C)c2c1,10600.0,inactive,0
CHEMBL1376281,Cl.O=C(CNC1=NCCC1)c1ccc(Cl)cc1,23100.0,inactive,0
CHEMBL1542804,O=[N+]([O-])c1cc(S(=O)(=O)C(F)(F)F)ccc1Sc1nc2ccccc2s1,249.0,active,1
CHEMBL1442702,CSc1nc(-c2ccccc2)nn1C(=O)c1ccc(Cl)cc1,44300.0,inactive,0
CHEMBL1314125,O=C(CCl)N1c2ccccc2CCc2ccccc21,450.0,active,1
CHEMBL1328510,CCCCCCCCCCOC(=O)Cn1c(COc2ccc(OC)cc2)[n+](C)c2ccccc21.[Cl-],10600.0,inactive,0
CHEMBL1497078,O=C(CCl)Nc1cccc(S(=O)(=O)N2CCCCCC2)c1,22600.0,inactive,0
CHEMBL1572216,Cc1n[nH]c(O)c1C(c1ccc(-c2cccc(Cl)c2)o1)c1c(C)n[nH]c1O,66200.0,inactive,0
CHEMBL1581601,O=C(CSc1nnc(Cc2ccccc2)o1)Nc1cccc(F)c1,86100.0,inactive,0
CHEMBL1497120,O=C(Oc1ccc(C(=S)N2CCOCC2)cc1)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],10600.0,inactive,0
CHEMBL1542809,Cc1oc2c(c1C(=O)N1CCOCC1)C(=O)c1ccccc1C2=O,506.0,active,1
CHEMBL1363844,Cc1cc(C)n2nc(CNS(=O)(=O)c3c(F)c(F)c(F)c(F)c3F)nc2n1,10800.0,inactive,0
CHEMBL1299269,CC1=NN(c2cccc(Cl)c2)C(=O)C12CC(C)=C(C)CS2,13200.0,inactive,0
