k,n_estimators,min_samples_leaf,roc_auc
40,120,3,0.891912320483749
40,180,3,0.8898966994205089
40,320,3,0.8898966994205089
40,500,3,0.889392794154699
40,240,3,0.8883849836230788
80,500,1,0.8872511967750064
80,320,1,0.8858654572940287
40,120,2,0.8853615520282188
40,240,2,0.8841017888636937
40,500,2,0.8833459309649786
40,320,2,0.8833459309649786
80,240,1,0.8828420256991685
40,180,2,0.8823381204333584
40,320,4,0.8820861678004535
80,120,1,0.8812043335852859
40,500,4,0.8810783572688335
40,240,4,0.8805744520030233
40,180,4,0.8798185941043084
30,500,2,0.8795666414714034
80,180,1,0.8793146888384984
80,120,2,0.8788107835726883
30,120,2,0.8765432098765432
30,320,2,0.8762912572436382
40,120,4,0.8762912572436382
30,240,2,0.8757873519778282
80,120,3,0.8755353993449231
30,180,2,0.8752834467120182
60,120,1,0.8747795414462082
30,180,3,0.874275636180398
80,320,2,0.873771730914588
30,500,3,0.873267825648778
80,500,2,0.8730158730158729
80,320,4,0.872008062484253
80,240,2,0.872008062484253
40,120,1,0.8716301335348956
30,120,3,0.8715041572184429
30,240,3,0.8715041572184429
30,320,3,0.871252204585538
60,240,1,0.8711262282690855
30,500,4,0.8710002519526329
80,180,2,0.870748299319728
60,320,1,0.870748299319728
100,180,1,0.8707482993197279
60,180,1,0.8706223230032754
60,500,1,0.8703703703703703
30,240,4,0.8702443940539178
100,320,1,0.8701184177374653
100,500,1,0.869992441421013
80,500,3,0.8699924414210128
80,320,3,0.8697404887881078
80,180,3,0.8692365835222978
100,240,1,0.8689846308893928
100,120,1,0.8688586545729403
80,240,3,0.8682287729906778
40,180,1,0.8679768203577727
40,500,1,0.8678508440413203
30,320,4,0.8677248677248677
80,500,4,0.8659611992945329
30,180,4,0.8659611992945326
40,320,1,0.8655832703451751
80,240,4,0.8654572940287225
40,240,1,0.8648274124464601
60,500,2,0.8644494834971026
30,120,4,0.8641975308641976
80,120,4,0.8639455782312925
50,120,4,0.8636936255983874
100,500,2,0.8629377676996726
80,180,4,0.8629377676996725
50,180,4,0.8621819098009574
100,240,2,0.8619299571680523
50,500,2,0.8616780045351475
50,120,3,0.8616780045351474
50,500,1,0.861552028218695
60,240,4,0.8614260519022424
100,500,4,0.8611740992693375
50,240,4,0.8611740992693374
60,120,4,0.8611740992693374
50,180,3,0.8609221466364323
60,180,4,0.8609221466364323
100,180,2,0.8604182413706223
60,320,4,0.8601662887377174
50,500,3,0.8601662887377173
60,320,3,0.8599143361048123
50,180,2,0.8599143361048123
50,320,3,0.8591584782060974
60,240,2,0.8591584782060974
60,320,2,0.8591584782060973
100,320,2,0.8591584782060973
50,180,1,0.8591584782060971
50,240,1,0.8590325018896448
60,500,4,0.8589065255731922
50,120,1,0.8587805492567397
50,240,2,0.8578987150415722
50,500,4,0.8578987150415722
60,500,3,0.8578987150415721
50,120,2,0.8578987150415721
50,320,4,0.8573948097757622
50,320,2,0.8573948097757621
60,240,3,0.8571428571428572
100,240,4,0.8568909045099521
50,240,3,0.8566389518770471
60,120,3,0.8563869992441422
100,120,2,0.856386999244142
30,180,1,0.8562610229276896
30,240,1,0.8557571176618796
50,320,1,0.8557571176618796
60,180,2,0.8556311413454271
100,500,3,0.8556311413454271
30,500,1,0.8550012597631645
30,320,1,0.8547493071302597
100,320,4,0.8546233308138071
100,320,3,0.854119425547997
60,180,3,0.853867472915092
100,240,3,0.8528596623834719
100,180,4,0.8521038044847569
30,120,1,0.851851851851852
60,120,2,0.8510959939531367
100,120,3,0.8508440413202318
100,180,3,0.8490803728898968
100,120,4,0.8485764676240867
20,120,4,0.8144368858654573
20,180,3,0.8111615016376921
20,240,3,0.8106575963718821
20,180,4,0.8106575963718821
20,320,3,0.8091458805744521
20,240,4,0.809145880574452
20,500,3,0.808893927941547
20,320,4,0.808893927941547
20,120,3,0.808641975308642
20,240,2,0.8086419753086419
20,180,2,0.8081380700428319
20,320,2,0.8063744016124968
20,500,2,0.8063744016124968
20,120,2,0.8058704963466868
20,500,4,0.8056185437137818
20,180,1,0.7425044091710757
20,240,1,0.7411186696900982
20,120,1,0.7397329302091207
20,500,1,0.7394809775762157
20,320,1,0.7378432854623331
