k,n_estimators,min_samples_leaf,roc_auc
40,120,3,0.891912320483749
40,180,3,0.8898966994205089
40,320,3,0.8898966994205089
40,500,3,0.889392794154699
40,240,3,0.8883849836230788
80,500,1,0.8872511967750064
80,320,1,0.8858654572940287
40,120,2,0.8853615520282188
40,240,2,0.8841017888636937
40,500,2,0.8833459309649786
40,320,2,0.8833459309649786
80,240,1,0.8828420256991685
40,180,2,0.8823381204333584
40,320,4,0.8820861678004535
80,120,1,0.8812043335852859
40,500,4,0.8810783572688335
40,240,4,0.8805744520030233
40,180,4,0.8798185941043084
30,500,2,0.8795666414714034
80,180,1,0.8793146888384984
