feature,importance,std
PubchemFP590,0.037116207,0.0
GraphFP140,0.03409591,0.0
GraphFP489,0.032447357,0.0
GraphFP641,0.025162563,0.0
PubchemFP620,0.02439032,0.0
GraphFP277,0.022613237,0.0
GraphFP540,0.019779846,0.0
ExtFP824,0.01875335,0.0
FP279,0.014889708,0.0
FP526,0.012929606,0.0
ExtFP288,0.012423185,0.0
GraphFP892,0.012250308,0.0
ExtFP743,0.0104118185,0.0
GraphFP116,0.010158543,0.0
ExtFP537,0.009893259,0.0
ExtFP194,0.009272675,0.0
GraphFP940,0.0091420915,0.0
GraphFP517,0.009139272,0.0
FP195,0.008962474,0.0
MACCSFP95,0.008644102,0.0
FP14,0.008455409,0.0
PubchemFP644,0.008377858,0.0
GraphFP937,0.0081649795,0.0
ExtFP491,0.0073915357,0.0
FP26,0.007380432,0.0
ExtFP621,0.007318504,0.0
FP594,0.0072455877,0.0
FP271,0.006824461,0.0
GraphFP695,0.006712905,0.0
FP368,0.006704477,0.0
FP636,0.006621431,0.0
ExtFP311,0.006545826,0.0
GraphFP1004,0.0064421454,0.0
GraphFP302,0.0063342946,0.0
FP875,0.0062134154,0.0
PubchemFP712,0.0061560352,0.0
ExtFP324,0.006140056,0.0
FP725,0.006137022,0.0
GraphFP969,0.006106164,0.0
ExtFP492,0.006054336,0.0
FP339,0.006051993,0.0
PubchemFP375,0.0060007647,0.0
ExtFP353,0.0059975507,0.0
GraphFP691,0.0057578096,0.0
GraphFP983,0.005709804,0.0
FP393,0.005597817,0.0
GraphFP588,0.005543166,0.0
GraphFP738,0.00552994,0.0
GraphFP858,0.005473705,0.0
FP146,0.0054649273,0.0
FP338,0.005412631,0.0
ExtFP424,0.005330208,0.0
ExtFP257,0.0053034984,0.0
FP763,0.0052779336,0.0
ExtFP137,0.0052332315,0.0
ExtFP540,0.005204059,0.0
ExtFP593,0.005189148,0.0
ExtFP708,0.0051665325,0.0
ExtFP247,0.005158868,0.0
GraphFP14,0.005143328,0.0
ExtFP947,0.0050207386,0.0
FP375,0.004984439,0.0
GraphFP196,0.004894103,0.0
FP837,0.0048763333,0.0
