feature,mean_abs_shap
ExtFP492,0.36636380340798635
alogp,0.2508739549834445
FP619,0.2486878246192391
FP14,0.2365271787072756
psa,0.19165450883740603
ExtFP953,0.18696724198859888
GraphFP937,0.18591693313950622
ExtFP257,0.175959398166751
ExtFP194,0.15648724076599546
FP338,0.15496084871705557
FP339,0.15391892731481246
GraphFP517,0.15347225449925211
FP1005,0.13770286010310648
PubchemFP712,0.13548034211103185
FP235,0.1316395416522808
FP186,0.13095691607577836
full_mwt,0.12755285952490406
GraphFP540,0.12326436749430911
ExtFP807,0.1229220796982463
FP271,0.1207096041204999
FP775,0.11841076456744248
FP351,0.1174788158026002
ExtFP491,0.11376096448348123
FP666,0.1103994585758001
GraphFP348,0.1020945789021388
FP636,0.09193240543347986
hbd,0.09096531415119403
GraphFP552,0.08801694151404962
FP403,0.08770974284788999
ExtFP424,0.08770059576340486
ExtFP947,0.08467505496327093
aromatic_rings,0.08457000410620541
FP725,0.0818699695598492
ExtFP968,0.0815423995477604
hba,0.07664559750519734
SubFP169,0.07480291416624604
FP526,0.0734815257287479
ExtFP311,0.07103104735981745
FP837,0.06911468940122101
MACCSFP117,0.06630997413792947
GraphFP698,0.06434132954498577
rtb,0.062224730486039916
PubchemFP477,0.06184190191171674
GraphFP1004,0.06062300679397968
GraphFP716,0.05644151293468338
ExtFP159,0.05396703476377192
GraphFP858,0.050517329419557666
ExtFP243,0.049092560653028174
ExtFP824,0.04691996308701265
GraphFP892,0.04656149925070643
GraphFP277,0.04648244625863917
AD2D92,0.046037836811648095
GraphFP140,0.04523960840353663
GraphFP940,0.04287136523114547
GraphFP741,0.040121756775096315
GraphFP988,0.04010517027088803
ExtFP579,0.038875492574558516
FP146,0.038164932523309644
ExtFP442,0.037409280769096866
ExtFP829,0.03649811943252318
FP895,0.035922156412290275
PubchemFP346,0.034923277502308364
GraphFP397,0.03487612279672298
FP973,0.03411792342353218
PubchemFP613,0.032819135071447174
GraphFP489,0.031964207871170894
GraphFP116,0.031962508003929475
GraphFP904,0.0316956224648313
PubchemFP431,0.03126985355642717
KRFP1148,0.03098372372367017
PubchemFP644,0.030036242150396752
PubchemFP375,0.029990408443468824
GraphFP641,0.029643226360697536
FP249,0.02958504463720849
GraphFP302,0.029420654598762166
GraphFP695,0.028228957663456625
PubchemFP617,0.026466382439510557
PubchemFP390,0.02508978841879856
GraphFP271,0.023631869998236875
ExtFP404,0.023362737298133023
GraphFP73,0.02058477436791241
GraphFP171,0.020557132834415768
PubchemFP590,0.020044695525741243
GraphFP498,0.02004206448179755
EStateFP34,0.018793426919605904
PubchemFP614,0.018778307591079433
MACCSFP77,0.018113150692773458
FP599,0.017578700380525367
GraphFP154,0.016007366307653394
ExtFP743,0.015896000130516647
GraphFP983,0.01577418415260272
PubchemFP667,0.014800528727589113
GraphFP553,0.014085608778337423
GraphFP679,0.012464100156807762
GraphFP60,0.012419572805145784
GraphFP699,0.011315961219613419
GraphFP196,0.011006579752234088
AD2D91,0.009896405088969077
PubchemFP450,0.009028013492488038
GraphFP969,0.008125854006254611
GraphFP783,0.007475035738084995
GraphFP285,0.0065955421541553415
GraphFP786,0.005794183228715752
PubchemFP406,0.005458433033228838
FP322,0.004968489198415373
GraphFP891,0.004938112975501566
PubchemFP467,0.004536959692154727
